class,plane,split,filename,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity,nonzero_percentage
glioma,sagittal,train,brisc2025_train_00839_gl_sa_t1.jpg,28.89566421508789,4.0,37.58987045288086,0.0,255.0,94.95964050292969
glioma,coronal,train,brisc2025_train_00695_gl_co_t1.jpg,36.179832458496094,11.0,43.01945495605469,0.0,255.0,74.97673034667969
glioma,axial,test,brisc2025_test_00050_gl_ax_t1.jpg,32.56707000732422,4.0,40.92182922363281,0.0,255.0,71.1212158203125
glioma,sagittal,train,brisc2025_train_01004_gl_sa_t1.jpg,47.02859878540039,44.0,44.77802658081055,0.0,255.0,96.70791625976562
glioma,coronal,train,brisc2025_train_00453_gl_co_t1.jpg,38.695133209228516,25.0,42.40219497680664,0.0,255.0,77.01072692871094
glioma,axial,train,brisc2025_train_00089_gl_ax_t1.jpg,22.889118194580078,2.0,31.953144073486328,0.0,255.0,66.082763671875
glioma,coronal,train,brisc2025_train_00570_gl_co_t1.jpg,30.651775360107422,11.0,36.07271957397461,0.0,251.0,76.73683166503906
glioma,coronal,train,brisc2025_train_00732_gl_co_t1.jpg,39.105369567871094,31.0,43.036685943603516,0.0,255.0,77.06336975097656
glioma,axial,train,brisc2025_train_00091_gl_ax_t1.jpg,24.531951904296875,3.0,36.057586669921875,0.0,255.0,68.32962036132812
glioma,axial,train,brisc2025_train_00053_gl_ax_t1.jpg,29.264556884765625,3.0,35.54774856567383,0.0,252.0,66.92237854003906
glioma,axial,test,brisc2025_test_00030_gl_ax_t1.jpg,26.179428100585938,3.0,46.43791580200195,0.0,255.0,82.51380920410156
glioma,coronal,train,brisc2025_train_00447_gl_co_t1.jpg,29.666393280029297,4.0,37.96751022338867,0.0,255.0,76.92794799804688
glioma,axial,train,brisc2025_train_00226_gl_ax_t1.jpg,25.109905242919922,2.0,32.49699401855469,0.0,253.0,65.46363830566406
glioma,axial,train,brisc2025_train_00376_gl_ax_t1.jpg,31.750690460205078,3.0,44.2652473449707,0.0,254.0,69.53849792480469
glioma,axial,test,brisc2025_test_00077_gl_ax_t1.jpg,30.351810455322266,4.0,39.01087188720703,0.0,255.0,68.3258056640625
glioma,sagittal,test,brisc2025_test_00248_gl_sa_t1.jpg,47.410011291503906,41.0,43.65766525268555,0.0,255.0,98.13613891601562
glioma,coronal,train,brisc2025_train_00396_gl_co_t1.jpg,37.84490966796875,5.0,43.527713775634766,0.0,255.0,77.43415832519531
glioma,coronal,train,brisc2025_train_00560_gl_co_t1.jpg,31.640827178955078,3.0,45.02113723754883,0.0,255.0,76.93595886230469
glioma,axial,train,brisc2025_train_00176_gl_ax_t1.jpg,29.38985824584961,3.0,41.703521728515625,0.0,255.0,70.70808410644531
glioma,sagittal,train,brisc2025_train_01050_gl_sa_t1.jpg,41.59276580810547,47.0,36.76645278930664,0.0,255.0,97.08290100097656
glioma,axial,train,brisc2025_train_00241_gl_ax_t1.jpg,26.224716186523438,2.0,37.20469665527344,0.0,255.0,65.68984985351562
glioma,axial,test,brisc2025_test_00079_gl_ax_t1.jpg,27.774009704589844,3.0,37.167808532714844,0.0,255.0,67.71583557128906
glioma,axial,train,brisc2025_train_00373_gl_ax_t1.jpg,29.273162841796875,3.0,39.167911529541016,0.0,255.0,67.88253784179688
glioma,coronal,train,brisc2025_train_00817_gl_co_t1.jpg,41.32109832763672,21.0,43.88816452026367,0.0,255.0,83.46405029296875
glioma,coronal,train,brisc2025_train_00820_gl_co_t1.jpg,37.22977066040039,7.0,43.098419189453125,0.0,255.0,82.58590698242188
glioma,sagittal,test,brisc2025_test_00193_gl_sa_t1.jpg,37.01230239868164,27.0,38.385215759277344,0.0,255.0,95.65238952636719
glioma,axial,train,brisc2025_train_00097_gl_ax_t1.jpg,33.61640548706055,6.0,42.372798919677734,0.0,255.0,67.56401062011719
glioma,axial,train,brisc2025_train_00343_gl_ax_t1.jpg,30.317646026611328,4.0,42.398067474365234,0.0,255.0,72.14012145996094
glioma,coronal,train,brisc2025_train_00657_gl_co_t1.jpg,34.20927047729492,4.0,43.01877212524414,0.0,255.0,76.56059265136719
glioma,coronal,train,brisc2025_train_00726_gl_co_t1.jpg,23.19715118408203,2.0,34.45643997192383,0.0,255.0,76.45721435546875
glioma,coronal,train,brisc2025_train_00620_gl_co_t1.jpg,34.88404083251953,3.0,44.523677825927734,0.0,255.0,76.26571655273438
glioma,coronal,test,brisc2025_test_00102_gl_co_t1.jpg,33.922210693359375,22.0,35.48210525512695,0.0,255.0,77.78244018554688
glioma,coronal,train,brisc2025_train_00564_gl_co_t1.jpg,36.661102294921875,4.0,45.350704193115234,0.0,255.0,78.10287475585938
glioma,coronal,train,brisc2025_train_00777_gl_co_t1.jpg,39.70209884643555,29.0,43.051856994628906,0.0,255.0,76.95655822753906
glioma,coronal,train,brisc2025_train_00563_gl_co_t1.jpg,35.123809814453125,4.0,44.54743194580078,0.0,252.0,77.91023254394531
glioma,sagittal,train,brisc2025_train_00987_gl_sa_t1.jpg,37.7078971862793,7.0,43.80388641357422,0.0,251.0,96.51412963867188
glioma,sagittal,train,brisc2025_train_00861_gl_sa_t1.jpg,38.28675842285156,41.0,34.76999282836914,0.0,255.0,96.38595581054688
glioma,axial,train,brisc2025_train_00157_gl_ax_t1.jpg,23.394176483154297,2.0,33.37021255493164,0.0,249.0,69.0948486328125
glioma,sagittal,train,brisc2025_train_01143_gl_sa_t1.jpg,35.817020416259766,24.0,38.301300048828125,0.0,255.0,97.30148315429688
glioma,sagittal,train,brisc2025_train_01138_gl_sa_t1.jpg,50.996116638183594,12.0,55.3493537902832,0.0,255.0,97.74246215820312
glioma,coronal,train,brisc2025_train_00586_gl_co_t1.jpg,32.38682556152344,2.0,46.6672477722168,0.0,249.0,76.77497863769531
glioma,axial,train,brisc2025_train_00024_gl_ax_t1.jpg,21.74322509765625,2.0,34.47520446777344,0.0,255.0,67.12875366210938
glioma,coronal,train,brisc2025_train_00539_gl_co_t1.jpg,37.626976013183594,31.0,38.39706039428711,0.0,255.0,77.50167846679688
glioma,sagittal,train,brisc2025_train_01123_gl_sa_t1.jpg,20.163745880126953,17.0,20.827003479003906,0.0,253.0,93.08853149414062
glioma,sagittal,train,brisc2025_train_00827_gl_sa_t1.jpg,40.005104064941406,28.0,38.442440032958984,0.0,250.0,97.60704040527344
glioma,coronal,train,brisc2025_train_00696_gl_co_t1.jpg,34.1819953918457,18.0,39.68717956542969,0.0,255.0,75.35552978515625
glioma,coronal,train,brisc2025_train_00713_gl_co_t1.jpg,38.744449615478516,34.0,40.307838439941406,0.0,255.0,76.71775817871094
glioma,sagittal,test,brisc2025_test_00221_gl_sa_t1.jpg,50.52531433105469,55.0,46.39247131347656,0.0,255.0,97.23091125488281
glioma,axial,test,brisc2025_test_00052_gl_ax_t1.jpg,28.643993377685547,3.0,38.58588790893555,0.0,255.0,69.58580017089844
glioma,axial,test,brisc2025_test_00045_gl_ax_t1.jpg,27.588401794433594,4.0,39.234596252441406,0.0,255.0,68.40972900390625
glioma,sagittal,test,brisc2025_test_00197_gl_sa_t1.jpg,42.02928924560547,41.0,38.4237174987793,0.0,255.0,96.59919738769531
glioma,coronal,train,brisc2025_train_00691_gl_co_t1.jpg,23.176944732666016,3.0,32.98868942260742,0.0,255.0,74.49760437011719
