filename,true_class,predicted_class,correct_prediction,mri_plane,gradcam_target_class,gradcam_target_index,tumor_pixels,gradcam_peak_x,gradcam_peak_y,pointing_game_inside_tumor,gradcam_total_energy,gradcam_energy_inside_tumor,energy_inside_tumor_ratio,iou_03,iou_05,iou_07,image_path,mask_path
brisc2025_test_00001_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,294,111,111,False,5535.419921875,249.3748016357422,0.04505074685486048,0.037366548042704624,0.0840240068591026,0.17061923583662714,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00001_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00001_gl_ax_t1.png
brisc2025_test_00002_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,494,111,111,False,4368.0693359375,315.3883056640625,0.07220313630767311,0.09720582447855175,0.17595190380761522,0.12892561983471074,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00002_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00002_gl_ax_t1.png
brisc2025_test_00003_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,1309,112,111,False,12923.1220703125,626.9777221679688,0.04851596377072739,0.07395262056877933,0.05071119356833643,0.0018948365703458077,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00003_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00003_gl_ax_t1.png
brisc2025_test_00004_gl_ax_t1.jpg,glioma,meningioma,False,axial,meningioma,1,919,112,48,False,13787.71484375,519.874755859375,0.03770565041059254,0.04358548731325587,0.07602463368018687,0.02534730684864733,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00004_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00004_gl_ax_t1.png
brisc2025_test_00005_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,285,79,111,False,9617.0693359375,95.77389526367188,0.009958740227210347,0.012063227953410981,0.004823379202723791,0.0,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00005_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00005_gl_ax_t1.png
brisc2025_test_00006_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,1050,143,48,False,6531.259765625,645.3328857421875,0.0988068012757158,0.13121719570107473,0.2123817712811694,0.11017395888244597,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00006_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00006_gl_ax_t1.png
brisc2025_test_00007_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,199,111,80,False,8723.4365234375,17.088050842285156,0.0019588668750410705,0.0,0.0,0.0,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00007_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00007_gl_ax_t1.png
brisc2025_test_00008_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,428,111,80,False,7249.87255859375,144.22244262695312,0.019893100390571253,0.052269601100412656,0.0,0.0,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00008_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00008_gl_ax_t1.png
brisc2025_test_00009_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,1937,112,111,False,1218.1888427734375,138.5175018310547,0.11370774133482735,0.0,0.0,0.0,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00009_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00009_gl_ax_t1.png
brisc2025_test_00010_gl_ax_t1.jpg,glioma,glioma,True,axial,glioma,0,229,111,111,False,9549.12109375,31.36320686340332,0.0032844077015559965,0.0,0.0,0.0,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00010_gl_ax_t1.png,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\segmentation_task\test\masks\brisc2025_test_00010_gl_ax_t1.png
