filename,true_class,predicted_class,correct,mri_plane,image_path,target_class,target_layer,feature_map_shape,heatmap_min,heatmap_max,heatmap_mean,method,status
brisc2025_test_00001_gl_ax_t1.jpg,glioma,glioma,True,axial,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00001_gl_ax_t1.png,glioma,conv5_block16_2_conv,7x7x32,0.0,0.9944300651550293,0.17890191078186035,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00086_gl_co_t1.jpg,glioma,glioma,True,coronal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00086_gl_co_t1.png,glioma,conv5_block16_2_conv,7x7x32,0.0,0.9927302002906799,0.2940773367881775,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00167_gl_sa_t1.jpg,glioma,glioma,True,sagittal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00167_gl_sa_t1.png,glioma,conv5_block16_2_conv,7x7x32,0.0,0.9887877106666565,0.19584505259990692,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00255_me_ax_t1.jpg,meningioma,meningioma,True,axial,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00255_me_ax_t1.png,meningioma,conv5_block16_2_conv,7x7x32,0.0,0.9924798011779785,0.29232171177864075,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00392_me_co_t1.jpg,meningioma,meningioma,True,coronal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00392_me_co_t1.png,meningioma,conv5_block16_2_conv,7x7x32,0.0,0.9941685199737549,0.39028283953666687,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00478_me_sa_t1.jpg,meningioma,meningioma,True,sagittal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00478_me_sa_t1.png,meningioma,conv5_block16_2_conv,7x7x32,0.0,0.9951751232147217,0.2553127706050873,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,True,axial,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\no_tumor\brisc2025_test_00561_no_ax_t1.png,no_tumor,conv5_block16_2_conv,7x7x32,0.0,1.0,0.08789277821779251,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00613_no_co_t1.jpg,no_tumor,no_tumor,True,coronal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\no_tumor\brisc2025_test_00613_no_co_t1.png,no_tumor,conv5_block16_2_conv,7x7x32,0.0,0.9872510433197021,0.2419881373643875,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00661_no_sa_t1.jpg,no_tumor,no_tumor,True,sagittal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\no_tumor\brisc2025_test_00661_no_sa_t1.png,no_tumor,conv5_block16_2_conv,7x7x32,0.0,0.9933240413665771,0.12613974511623383,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00701_pi_ax_t1.jpg,pituitary,pituitary,True,axial,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\pituitary\brisc2025_test_00701_pi_ax_t1.png,pituitary,conv5_block16_2_conv,7x7x32,0.0,0.9931284189224243,0.2656012773513794,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00825_pi_co_t1.jpg,pituitary,pituitary,True,coronal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\pituitary\brisc2025_test_00825_pi_co_t1.png,pituitary,conv5_block16_2_conv,7x7x32,0.0,0.9964497685432434,0.4080052375793457,Standard Logit-Based Grad-CAM,PASS
brisc2025_test_00915_pi_sa_t1.jpg,pituitary,pituitary,True,sagittal,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\pituitary\brisc2025_test_00915_pi_sa_t1.png,pituitary,conv5_block16_2_conv,7x7x32,0.0,0.9989576935768127,0.330828994512558,Standard Logit-Based Grad-CAM,PASS
