filename,processed_filename,tumor_label,tumor_code,plane_label,plane_code,split,original_width,original_height,resized_width,resized_height,processed_width,processed_height,processed_channels,processed_mode,processed_format,processed_path,sha256,source_path,model_split,class_index,true_class_index,true_class,predicted_class_index,predicted_class,prediction_confidence,correct,probability_glioma,probability_meningioma,probability_no_tumor,probability_pituitary
brisc2025_test_00512_me_sa_t1.jpg,brisc2025_test_00512_me_sa_t1.png,meningioma,me,sagittal,sa,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00512_me_sa_t1.png,2e738789394cc9a7efddfa82076308e1718592e1cba2c88ff6f6bdbd25919dc2,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\meningioma\brisc2025_test_00512_me_sa_t1.jpg,official_test,1,1,meningioma,0,glioma,0.9974783,False,0.9974783,0.0024188324,5.2197247e-05,5.0654264e-05
brisc2025_test_00418_me_co_t1.jpg,brisc2025_test_00418_me_co_t1.png,meningioma,me,coronal,co,test,221,228,217,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00418_me_co_t1.png,36f571bbd7db967e68e0e0bddba8f81ee825221e166dad668c8323c557129f9b,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\meningioma\brisc2025_test_00418_me_co_t1.jpg,official_test,1,1,meningioma,3,pituitary,0.9861433,False,1.8597753e-07,0.008215607,0.005640982,0.9861433
brisc2025_test_00158_gl_co_t1.jpg,brisc2025_test_00158_gl_co_t1.png,glioma,gl,coronal,co,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00158_gl_co_t1.png,1d7a9d0ff2bc3f9c96afcafc7476bf5956cc2ee8bbe7a8d20787e03547d5482a,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\glioma\brisc2025_test_00158_gl_co_t1.jpg,official_test,0,0,glioma,1,meningioma,0.9851226,False,0.014114459,0.9851226,0.0005956134,0.00016726778
brisc2025_test_00146_gl_co_t1.jpg,brisc2025_test_00146_gl_co_t1.png,glioma,gl,coronal,co,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00146_gl_co_t1.png,db518ce42a97a0bd0bdda06748b3b37a96c96e16d15f92f05999ca939f9d86c3,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\glioma\brisc2025_test_00146_gl_co_t1.jpg,official_test,0,0,glioma,1,meningioma,0.9772649,False,0.022260636,0.9772649,0.0002472,0.00022735242
brisc2025_test_00297_me_ax_t1.jpg,brisc2025_test_00297_me_ax_t1.png,meningioma,me,axial,ax,test,215,220,219,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00297_me_ax_t1.png,024bdc364dc642a401ddca2ba91863d0f07055ed69594942b24d5f9724e2d737,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\meningioma\brisc2025_test_00297_me_ax_t1.jpg,official_test,1,1,meningioma,2,no_tumor,0.96033335,False,3.6796854e-07,0.039629336,0.96033335,3.692041e-05
brisc2025_test_00235_gl_sa_t1.jpg,brisc2025_test_00235_gl_sa_t1.png,glioma,gl,sagittal,sa,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00235_gl_sa_t1.png,c383ffac14bfe053162381377471fdc69710b15fb057259a0a02a0e66c1c8d3e,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\glioma\brisc2025_test_00235_gl_sa_t1.jpg,official_test,0,0,glioma,1,meningioma,0.94232845,False,0.04565747,0.94232845,0.0011157983,0.010898266
brisc2025_test_00286_me_ax_t1.jpg,brisc2025_test_00286_me_ax_t1.png,meningioma,me,axial,ax,test,216,216,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00286_me_ax_t1.png,6a86bd97e2f696c93ab917bef8d9bf7ed7d151237e3bc437aedb265b793c0697,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\meningioma\brisc2025_test_00286_me_ax_t1.jpg,official_test,1,1,meningioma,2,no_tumor,0.9397911,False,1.4275217e-07,0.05996122,0.9397911,0.00024756702
brisc2025_test_00060_gl_ax_t1.jpg,brisc2025_test_00060_gl_ax_t1.png,glioma,gl,axial,ax,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00060_gl_ax_t1.png,8d7a6cd3978b725673255e56e1a7a7e8aa2048640420e9429e67a52becbd8e7d,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\glioma\brisc2025_test_00060_gl_ax_t1.jpg,official_test,0,0,glioma,3,pituitary,0.9323339,False,0.06404868,0.0034192307,0.00019818026,0.9323339
brisc2025_test_00533_me_sa_t1.jpg,brisc2025_test_00533_me_sa_t1.png,meningioma,me,sagittal,sa,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\meningioma\brisc2025_test_00533_me_sa_t1.png,04362407f0b50f6d886cacd6003c3ec9a06a9f0c792034c2a0cdb9943e8cba90,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\meningioma\brisc2025_test_00533_me_sa_t1.jpg,official_test,1,1,meningioma,0,glioma,0.9202046,False,0.9202046,0.07897555,7.962211e-05,0.0007402757
brisc2025_test_00234_gl_sa_t1.jpg,brisc2025_test_00234_gl_sa_t1.png,glioma,gl,sagittal,sa,test,512,512,224,224,224,224,3,RGB,PNG,D:\MSC Bioinformatics\INTERNSHIP\BrainTumor\data\processed\classification_224_rgb\test\glioma\brisc2025_test_00234_gl_sa_t1.png,53a029358cd25a43f012cfc4d898452b5511a4f11efd22da8ef3456fa891c9ca,D:\MSC Bioinformatics\INTERNSHIP\brisc2025\classification_task\test\glioma\brisc2025_test_00234_gl_sa_t1.jpg,official_test,0,0,glioma,1,meningioma,0.91807276,False,0.08180972,0.91807276,4.48011e-05,7.268594e-05
